Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.03457752160002217,0.0,0.6240924450752469,10.889444430272835
Iron 2,0.35974369021159885,1.498724948277113,4.243685849510804,9.42927231925074
Iron 3,0.3709925977872109,1.478825456631984,4.514513383965098,8.884699909007523
Bronze 1,0.35338792514758305,1.1873832951561734,4.965862539132598,8.658636505297338
Bronze 2,0.28988006277717493,1.511219688277174,4.649307910995712,9.02525488872484
Bronze 3,0.3092010836636256,1.5501245809502653,5.278179794543239,11.269542590285756
Silver 1,0.2718606897406513,1.3998268291167846,5.7298842506851,11.504128376238231
Silver 2,0.2891874825454511,1.3021183491226713,5.4702006302885975,9.99955608770807
Silver 3,0.34027031722089596,1.9043929856198696,6.139136836580886,12.457429117995616
Gold 1,0.3029067720670876,1.7593524100397144,7.424527275307255,13.85454102801838
Gold 2,0.31738001240268304,1.6398339118541922,5.78643653870974,11.589455223209004
Gold 3,0.26859860979129835,1.4042791745233565,6.23769275138871,11.927134838449065
Platinum 1,0.2687973097854574,1.58357111586174,5.8630807760672266,11.151741771481937
Platinum 2,0.2592969818567119,1.5171025014810307,8.12869773531643,12.895509057270823
Platinum 3,0.2503755822969291,1.4307779434445334,4.3820138899915575,8.781653647774641
Diamond 1,0.2864661270965281,1.8403660963028667,5.844996663496864,12.84964058477492
Diamond 2,0.2245374142311485,1.5257901934033116,7.143573688998492,9.159940074285538
Diamond 3,0.2761434559714607,1.6546694638152837,8.085398053439397,17.10688220334763
Immortal 1,0.2389120685340698,1.6182439402921915,5.69029580849086,13.472475731623394
Immortal 2,0.27256161095192016,1.0069691793220759,4.869856198867381,8.617902023933532
Immortal 3,0.2362186488363168,1.351889501758082,6.507514515301908,9.41294849765197
Radiant,0.25711663221989856,1.2119537568867504,8.10266079500539,12.512119765477031
